"location.long","location.lat","comments","tag.local.identifier","animal.id","animal.sex","animal.reproductive.condition","tag.manufacturer.name","tag.model","date_time","year","month","day","hour","minute"
-123.6035825,55.90000393,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-23 10:01:00,2013,9,23,10,1
-123.5986633,55.87343147,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-09 10:01:00,2013,10,9,10,1
-123.590292,55.87470289,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-30 10:01:00,2013,10,30,10,1
-123.4914647,55.8374079,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-08-11 10:01:00,2014,8,11,10,1
-123.4740369,55.87877256,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-11-10 02:01:00,2013,11,10,2,1
-123.4411659,55.85412243,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-08-07 10:01:00,2014,8,7,10,1
-123.4324701,55.91397682,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-09-19 02:02:00,2014,9,19,2,2
-123.4309855,55.87820299,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-12-06 18:02:00,2013,12,6,18,2
-123.4280131,55.87681167,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-07-08 18:01:00,2014,7,8,18,1
-123.425157,55.87286807,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-11-24 02:01:00,2013,11,24,2,1
-123.4224142,55.9234641,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-06-20 02:02:00,2014,6,20,2,2
-123.420495,55.67191734,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-12-03 02:00:53,2012,12,3,2,0
-123.4201835,55.67252044,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-29 21:00:43,2012,11,29,21,0
-123.3794462,55.84466007,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-01-20 10:01:00,2015,1,20,10,1
-123.379211,55.84018614,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-11-10 10:01:00,2014,11,10,10,1
-123.3765788,55.86688037,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-04-04 18:01:00,2013,4,4,18,1
-123.3765446,55.82368841,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-03 19:00:43,2013,2,3,19,0
-123.3705484,55.86118407,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-26 06:00:43,2013,2,26,6,0
-123.3670736,55.885769,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-06-03 02:03:00,2015,6,3,2,3
-123.3661624,55.85860047,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-05-11 18:01:00,2014,5,11,18,1
-123.3658199,55.85445031,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-10-13 18:01:00,2014,10,13,18,1
-123.3595165,55.89837952,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-04-01 18:01:00,2014,4,1,18,1
-123.3582852,55.87756446,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-02-29 03:01:00,2016,2,29,3,1
-123.3573236,55.8511777,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-12-27 18:02:00,2013,12,27,18,2
-123.3571705,55.8693103,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-01-28 18:02:00,2014,1,28,18,2
-123.3569653,55.85042398,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-12-20 18:01:00,2013,12,20,18,1
-123.3564863,55.90103895,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-06-23 02:01:00,2013,6,23,2,1
-123.3561744,55.8250699,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-13 03:00:25,2013,2,13,3,0
-123.3513264,55.85035035,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-05-23 02:01:00,2013,5,23,2,1
-123.3505937,55.85057707,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-05-23 02:01:00,2013,5,23,2,1
-123.3505137,55.85055933,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-06-15 18:02:00,2013,6,15,18,2
-123.3494943,55.90603676,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2013-06-03 18:02:00,2013,6,3,18,2
-123.3474821,55.86165568,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-03-12 18:01:00,2014,3,12,18,1
-123.3456308,55.87627981,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-03-08 10:27:00,2016,3,8,10,27
-123.3435402,55.88387814,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-03-15 05:43:00,2016,3,15,5,43
-123.3424284,55.88470787,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-08-12 18:03:00,2015,8,12,18,3
-123.3423276,55.88052106,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-03-16 19:49:00,2016,3,16,19,49
-123.3409809,55.90376941,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-03-30 18:01:00,2014,3,30,18,1
-123.3401174,55.87454305,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-02-27 13:48:00,2016,2,27,13,48
-123.3392124,55.85322367,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-06-21 10:01:00,2013,6,21,10,1
-123.3385602,55.85353994,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-06-25 02:01:00,2013,6,25,2,1
-123.3317092,55.71109636,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-04 12:00:44,2012,11,4,12,0
-123.3310479,55.8849187,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-09-22 13:31:00,2015,9,22,13,31
-123.330837,55.87516137,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-01-30 10:02:00,2014,1,30,10,2
-123.3273784,55.89340152,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-06-23 10:01:00,2014,6,23,10,1
-123.3268451,55.89652977,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-02-24 05:02:00,2016,2,24,5,2
-123.3267222,55.88761682,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-06-24 02:01:00,2014,6,24,2,1
-123.3261831,55.89577677,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-02-26 18:01:00,2015,2,26,18,1
-123.3249778,55.88166427,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-09-03 02:03:00,2015,9,3,2,3
-123.3215675,55.90614878,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-03-02 18:02:00,2015,3,2,18,2
-123.314941,55.75543845,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-10-25 10:02:00,2014,10,25,10,2
-123.3121429,55.90372907,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-01-15 13:01:00,2016,1,15,13,1
-123.3112248,55.88894184,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-06-17 18:01:00,2015,6,17,18,1
-123.3080943,55.90144805,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-01-16 04:01:00,2016,1,16,4,1
-123.3063885,55.90418379,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-11-15 19:00:00,2015,11,15,19,0
-123.306154,55.88861312,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-04-21 18:01:00,2014,4,21,18,1
-123.3060856,55.90836263,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-02-11 08:36:00,2016,2,11,8,36
-123.3056113,55.76045785,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-07-04 02:01:00,2014,7,4,2,1
-123.3049153,55.90599346,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-01-07 06:02:00,2016,1,7,6,2
-123.3046004,55.90664117,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-05-10 10:02:00,2014,5,10,10,2
-123.3041665,55.90637268,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-10-19 13:30:00,2015,10,19,13,30
-123.3028192,55.90795739,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-11-07 10:02:00,2015,11,7,10,2
-123.3027084,55.90811041,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-11-03 16:30:00,2015,11,3,16,30
-123.3025566,55.90710444,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-12-11 18:30:00,2015,12,11,18,30
-123.3022028,55.90892031,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-11-04 16:30:00,2015,11,4,16,30
-123.3020812,55.90767167,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-10-29 15:30:00,2015,10,29,15,30
-123.3018579,55.90776207,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-10-09 11:30:00,2015,10,9,11,30
-123.3015814,55.90716973,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-12-28 02:02:00,2015,12,28,2,2
-123.300437,55.90810698,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-10-05 20:00:00,2015,10,5,20,0
-123.2990665,55.9087842,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-02-12 22:46:00,2016,2,12,22,46
-123.2976887,55.908509,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-10-06 15:00:00,2015,10,6,15,0
-123.2968192,55.90984988,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-12-09 23:00:00,2015,12,9,23,0
-123.296067,55.90980677,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2015-11-29 09:30:00,2015,11,29,9,30
-123.2950737,55.90961148,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2016-02-19 12:14:00,2016,2,19,12,14
-123.2322776,55.72588994,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-07-08 18:03:00,2014,7,8,18,3
-123.2060817,55.68257313,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-06-16 12:00:54,2013,6,16,12,0
-123.1696765,55.80709368,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-05-22 10:04:00,2014,5,22,10,4
-123.1003224,55.72031792,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-06-30 02:06:00,2014,6,30,2,6
-122.5116676,55.46535374,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2010-08-21 02:03:22,2010,8,21,2,3
-122.5025979,55.47469306,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2009-07-31 23:03:05,2009,7,31,23,3
-122.5017408,55.47692165,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2009-07-18 20:03:52,2009,7,18,20,3
-122.500285,55.4733133,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2009-08-20 02:03:34,2009,8,20,2,3
-122.4880122,55.45694876,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2009-08-24 21:03:08,2009,8,24,21,3
-122.4838124,55.47243713,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2009-08-25 11:03:07,2009,8,25,11,3
-122.4830827,55.38888483,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2009-08-20 19:03:35,2009,8,20,19,3
-122.4791896,55.45506135,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2010-09-05 11:03:35,2010,9,5,11,3
-122.4580927,55.4555233,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-08-02 20:00:53,2011,8,2,20,0
-122.4553306,55.45171,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-08-17 04:01:23,2012,8,17,4,1
-122.4548745,55.44465404,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-08-18 15:01:41,2012,8,18,15,1
-122.4515131,55.44424364,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-09-15 01:01:45,2012,9,15,1,1
-122.4487063,55.46074711,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-09-01 14:00:43,2011,9,1,14,0
-122.4378955,55.37830125,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2010-08-23 15:03:46,2010,8,23,15,3
-122.436753,55.50826383,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-02-28 20:00:44,2012,2,28,20,0
-122.4319899,55.37676341,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-08-25 13:03:51,2009,8,25,13,3
-122.4318666,55.42654159,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2009-06-20 20:03:03,2009,6,20,20,3
-122.4273603,55.51972123,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2009-10-26 14:03:36,2009,10,26,14,3
-122.415054,55.38774625,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-07-22 22:04:19,2009,7,22,22,4
-122.4089413,55.52673345,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-11-20 19:00:54,2011,11,20,19,0
-122.4066397,55.53019983,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-11-11 11:00:53,2011,11,11,11,0
-122.4022699,55.44325822,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-09-22 19:02:17,2013,9,22,19,2
-122.3992043,55.44006219,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-08-29 09:00:25,2011,8,29,9,0
-122.394494,55.47609139,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-03-13 16:03:37,2009,3,13,16,3
-122.3920046,55.46946003,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-10-11 04:03:37,2009,10,11,4,3
-122.3819724,55.47099132,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-04-12 17:03:20,2009,4,12,17,3
-122.380375,55.4742029,"Burnt Pine","car043","BP_car043","f","","ATS","GPS",2006-04-15 17:05:29,2006,4,15,17,5
-122.3797291,55.47614508,"Burnt Pine","car043","BP_car043","f","","ATS","GPS",2006-04-22 12:50:22,2006,4,22,12,50
-122.3760598,55.39821544,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-06-12 19:02:26,2011,6,12,19,2
-122.3603828,55.45086425,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-05-15 05:00:50,2011,5,15,5,0
-122.3541787,55.46170198,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-01-18 04:03:22,2009,1,18,4,3
-122.3427685,55.438559,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-05-16 16:00:26,2011,5,16,16,0
-122.3369471,55.4360205,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2011-12-03 22:00:26,2011,12,3,22,0
-122.3305603,55.43564965,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2009-04-09 05:03:48,2009,4,9,5,3
-122.3230852,55.4263799,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2010-05-19 17:03:35,2010,5,19,17,3
-122.3223639,55.42706963,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2010-05-16 10:03:03,2010,5,16,10,3
-122.3162905,55.42118145,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2009-01-23 17:03:03,2009,1,23,17,3
-122.3144954,55.42193252,"Burnt Pine","car144","BP_car144","f","with calf: N","Lotek","GPS Iridium",2011-04-24 12:00:43,2011,4,24,12,0
-122.3044664,55.4186697,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2010-01-22 09:03:04,2010,1,22,9,3
-122.301332,55.41724373,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2010-05-15 14:03:04,2010,5,15,14,3
-122.2970643,55.41435363,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2010-04-17 20:03:05,2010,4,17,20,3
-122.2929589,55.4054167,"Burnt Pine","car101","BP_car101","f","with calf: Unk","ATS","GPS G2000",2010-04-19 07:03:03,2010,4,19,7,3
-122.2685086,55.49864029,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2009-04-24 17:04:03,2009,4,24,17,4
-122.2663262,55.38852146,"Burnt Pine","car144","BP_car144","f","with calf: N","Lotek","GPS Iridium",2011-02-23 10:00:47,2011,2,23,10,0
-122.2621392,55.49293195,"Burnt Pine","car032","BP_car032","f","pregnant: No; with calf: Y","ATS","GPS",2004-04-13 00:03:36,2004,4,13,0,3
-122.2533128,55.50301371,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2009-04-20 14:03:05,2009,4,20,14,3
-122.2339124,55.27553046,"Burnt Pine","car100","BP_car100","f","with calf: N","ATS","GPS G2000",2010-03-06 01:03:22,2010,3,6,1,3
-122.2053654,55.46325801,"Burnt Pine","car115","BP_car115","m","","ATS","GPS G2000",2009-03-18 23:03:05,2009,3,18,23,3
-123.654956,55.92491821,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-05 10:01:00,2013,9,5,10,1
-123.6529635,55.92729191,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-09-04 10:01:00,2014,9,4,10,1
-123.652116,55.92542747,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-09-05 18:01:00,2013,9,5,18,1
-123.6430138,55.91019136,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-09-10 10:03:00,2014,9,10,10,3
-123.6385056,55.9025863,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-09-07 18:02:00,2014,9,7,18,2
-123.6121751,55.90536167,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-22 02:01:00,2013,9,22,2,1
-123.6115698,55.90044074,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-24 18:02:00,2013,9,24,18,2
-123.610481,55.90850594,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-18 18:02:00,2013,9,18,18,2
-123.6083737,55.89957602,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-09-24 02:02:00,2013,9,24,2,2
-123.6078377,55.86938805,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-13 18:01:00,2013,10,13,18,1
-123.6073331,55.90053359,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-09-18 02:01:00,2013,9,18,2,1
-123.6072102,55.8691126,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-10-12 18:02:00,2013,10,12,18,2
-123.6058075,55.8713928,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-10-12 10:01:00,2013,10,12,10,1
-123.6048733,55.90073439,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-09-01 10:04:00,2014,9,1,10,4
-123.6035899,55.90048011,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-14 18:02:00,2013,9,14,18,2
-123.6033922,55.87950043,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-10-06 02:06:00,2013,10,6,2,6
-123.6033631,55.90750771,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-21 10:02:00,2013,9,21,10,2
-123.6032708,55.90259322,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-09-25 10:01:00,2013,9,25,10,1
-123.6026767,55.90141007,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-18 10:01:00,2013,9,18,10,1
-123.6022639,55.905734,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-09-17 02:01:00,2014,9,17,2,1
-123.6020184,55.90537579,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2014-09-02 02:01:00,2014,9,2,2,1
-123.6012021,55.87431763,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-10-14 18:01:00,2013,10,14,18,1
-123.6002735,55.87524765,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-18 18:02:00,2013,10,18,18,2
-123.6001123,55.87515858,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-15 02:01:00,2013,10,15,2,1
-123.5986742,55.90633555,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-11 02:03:00,2013,9,11,2,3
-123.5966578,55.87292905,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-09 02:02:00,2013,10,9,2,2
-123.5927773,55.87523006,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-28 10:01:00,2013,10,28,10,1
-123.592065,55.87673404,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-29 02:01:00,2013,10,29,2,1
-123.5913077,55.91103448,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-09-12 18:02:00,2013,9,12,18,2
-123.5900448,55.8731586,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-09 18:01:00,2013,10,9,18,1
-123.5899873,55.87358118,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-10-27 02:01:00,2013,10,27,2,1
-123.5899474,55.87199996,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-22 10:01:00,2013,10,22,10,1
-123.589766,55.87163243,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-06 18:01:00,2013,10,6,18,1
-123.5895506,55.87745594,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-08 10:01:00,2013,10,8,10,1
-123.5891822,55.91328199,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-09-16 10:01:00,2014,9,16,10,1
-123.5890925,55.875706,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-26 02:01:00,2013,10,26,2,1
-123.5888402,55.87382029,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-10-30 18:01:00,2013,10,30,18,1
-123.5886658,55.87602253,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-10-07 10:02:00,2013,10,7,10,2
-123.5851694,55.87097148,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-04 02:01:00,2013,11,4,2,1
-123.5843123,55.87136192,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-25 18:01:00,2013,10,25,18,1
-123.5825964,55.87310422,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-10-20 10:01:00,2013,10,20,10,1
-123.5791984,55.87028988,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-10-25 02:01:00,2013,10,25,2,1
-123.5736534,55.86922863,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-11-01 10:02:00,2013,11,1,10,2
-123.5647857,55.86492075,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-01 18:01:00,2013,11,1,18,1
-123.5503685,56.00460699,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-12-14 10:04:00,2014,12,14,10,4
-123.5497737,56.00224656,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-12-15 18:06:00,2014,12,15,18,6
-123.5473265,55.99927439,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-01-07 18:02:00,2015,1,7,18,2
-123.5468105,55.86609812,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-10-31 18:01:00,2013,10,31,18,1
-123.5457765,55.99964965,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-01-07 10:02:00,2015,1,7,10,2
-123.5423562,55.99814626,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-11-11 10:02:00,2014,11,11,10,2
-123.5407978,55.99791949,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-11-12 02:03:00,2014,11,12,2,3
-123.5407058,55.86604422,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2013-11-01 02:01:00,2013,11,1,2,1
-123.536937,55.9692379,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-11-29 10:02:00,2014,11,29,10,2
-123.5340753,56.00921609,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-01-26 10:11:00,2015,1,26,10,11
-123.5335422,56.00777179,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-11-19 10:02:00,2014,11,19,10,2
-123.5329758,56.00857392,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-01-26 18:02:00,2015,1,26,18,2
-123.5322556,56.01101198,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-02-15 01:07:00,2015,2,15,1,7
-123.5316029,55.92255612,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-09-03 18:01:00,2014,9,3,18,1
-123.5314177,56.01072807,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-01-19 10:03:00,2015,1,19,10,3
-123.5295573,55.94387779,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-06-10 18:01:00,2014,6,10,18,1
-123.5292526,56.01073738,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-01-18 02:02:00,2015,1,18,2,2
-123.5281538,56.01131713,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-11-18 10:02:00,2014,11,18,10,2
-123.5260192,56.00412921,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2015-02-04 02:03:00,2015,2,4,2,3
-123.5249602,55.94373572,"Scott","car171","SC_car171","f","with calf: Y","ATS","GPS Iridium",2014-06-13 10:07:00,2014,6,13,10,7
-123.5237062,55.8733239,"Scott","car170","SC_car170","f","with calf: N","ATS","GPS Iridium",2013-09-04 02:04:00,2013,9,4,2,4
-123.5199564,55.99686802,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2014-08-19 18:05:00,2014,8,19,18,5
-123.5134066,55.99381358,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-07-31 02:02:00,2013,7,31,2,2
